,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
743,15-18 years,female,Bangla,Freelancer ,Business,Two Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,Once,High,Own business,27,30,68,88,62,41,38,600000,No,0 to 30 minutes,Yes,2.53,65.6
744,10-13 years,female,Bangla,Immigrant,Home maker,Four or more,primary,Honors/Equivalent ,1-2 km,Walk,Other,Water,None,High,Remittance,24,86,91,44,32,68,67,200000,Yes,above 3 hours,No,2.94,63.6
745,13-15 years,female,Bangla,Agriculture,Worker,Four or more,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Farming,88,40,82,21,55,84,37,550000,Yes,above 3 hours,No,2.91,55.8
746,15-18 years,male,Bangla,Unemployed,Home maker,Three Children,None,secondary,2-3 km,Rickshaw,Electricity,Water,Once,Low,Pansion,70,24,31,88,60,84,78,500000,Yes,3 hours,No,3.11,74.3
747,13-15 years,male,Bangla,Agriculture,Freelancer,None,Honors/ Equivalent ,secondary,6-7 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,Farming,89,51,48,62,90,31,88,750000,Yes,3 hours,No,3.28,65.6
748,10-13 years,female,Bangla,Public sector,Home maker,None,None,primary,2-3 km,Walk,Electricity,Teaching facilities,None,Mediam,Formal Wage,35,79,60,22,40,76,45,850000,Yes,above 3 hours,No,2.55,55
749,13-15 years,male,Bangla,Freelancer ,Public sector,Two Children,None,None,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Own business,88,87,86,54,44,68,28,150000,Yes,3 hours,No,3.25,88.8
750,13-15 years,male,Bangla,Worker,Home maker,Two Children,primary,Honors/Equivalent ,1-2 km,Rickshaw,Paraffin,Water,None,Mediam,Casual Wage,85,50,44,69,53,69,52,900000,No,above 3 hours,No,3.01,80.7
751,above 18 years,male,Bangla,Private sector,Home maker,Three Children,Honors/ Equivalent ,Masters/Equivalent and above,2-3 km,Bicycle/motorbike,Electricity,Toilet,Once,High,Casual Wage,44,50,66,43,87,57,41,750000,Yes,1 hours,Yes,2.77,72.2
752,10-13 years,female,Bangla,Private sector,Home maker,Three Children,secondary,secondary,2-3 km,School Bus/Bus,Electricity,Toilet,None,Low,Casual Wage,64,62,43,21,84,69,50,450000,No,1 hours,No,2.81,60.2
753,13-15 years,female,Bangla,Private sector,Freelancer,None,primary,primary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,Casual Wage,54,33,50,63,44,40,51,850000,No,0 to 30 minutes,Yes,2.39,71.8
754,13-15 years,male,English,Private sector,Home maker,Four or more,Masters/ Equivalent and above,secondary,4-5 km,Rickshaw,Other,Teaching facilities,None,High,Casual Wage,47,46,55,73,62,73,78,550000,No,2 hours,No,3.1,77.3
755,13-15 years,female,Bangla,Immigrant,Home maker,Four or more,Honors/ Equivalent ,secondary,0-0.5 km,Rickshaw,Electricity,Water,None,High,Remittance,20,45,72,35,87,41,70,200000,No,2 hours,No,2.64,62.6
756,13-15 years,female,Bangla,Private sector,Home maker,Two Children,None,Masters/Equivalent and above,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Casual Wage,57,41,21,84,72,65,44,200000,Yes,1 hours,No,2.74,70.9
757,13-15 years,male,Bangla,Business,Home maker,Three Children,primary,secondary,>7 km,School Bus/Bus,Electricity,Water,None,Low,Own business,29,77,86,84,26,45,86,550000,No,above 3 hours,No,3.09,81.1
758,10-13 years,male,Bangla,Public sector,Home maker,None,primary,secondary,>7 km,Rickshaw,Other,Toilet,None,Low,Formal Wage,72,64,86,92,63,57,48,400000,Yes,1 hours,No,3.44,78.1
759,15-18 years,female,Bangla,Private sector,Home maker,Four or more,primary,secondary,1-2 km,Walk,Electricity,Toilet,None,High,Casual Wage,44,38,69,51,47,21,77,450000,No,3 hours,No,2.48,61.8
760,10-13 years,male,Bangla,Agriculture,Home maker,Two Children,Honors/ Equivalent ,Honors/Equivalent ,1-2 km,Walk,Paraffin,Toilet,Once,Mediam,Farming,76,71,46,76,50,78,87,550000,No,2 hours,No,3.46,86.8
761,10-13 years,male,Bangla,Immigrant,Worker,Three Children,primary,primary,2-3 km,Private car,Electricity,Teaching facilities,None,High,Remittance,53,58,47,35,32,72,66,350000,Yes,3 hours,Yes,2.59,67.4
762,10-13 years,female,Bangla,Worker,Home maker,None,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Low,Casual Wage,26,41,81,92,47,80,60,400000,Yes,1 hours,No,3.05,72.4
763,10-13 years,female,Bangla,Public sector,Private sector,Two Children,secondary,secondary,1-2 km,Walk,Electricity,Water,None,High,Formal Wage,47,73,37,66,63,73,43,400000,No,above 3 hours,No,2.87,50.1
764,10-13 years,female,Bangla,Worker,Home maker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,81,49,88,77,31,79,39,300000,No,3 hours,No,3.17,86
765,13-15 years,male,Bangla,Worker,Agriculture,Three Children,primary,secondary,0-0.5 km,Rickshaw,Other,Teaching facilities,None,High,Casual Wage,40,26,22,28,49,42,42,180000,No,0 to 30 minutes,Yes,1.78,30.8
766,10-13 years,male,Bangla,Public sector,Home maker,None,primary,secondary,0-0.5 km,Walk,Other,Teaching facilities,None,Mediam,Formal Wage,84,68,36,24,47,69,61,250000,Yes,3 hours,No,2.78,59
767,10-13 years,female,Bangla,Public sector,Public sector,Three Children,primary,primary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Formal Wage,35,31,88,20,57,73,60,600000,Yes,2 hours,No,2.6,66.6
768,10-13 years,female,Bangla,Private sector,Agriculture,Two Children,primary,secondary,4-5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,Casual Wage,52,75,27,70,20,52,35,250000,Yes,3 hours,No,2.36,57.9
769,10-13 years,male,Bangla,Agriculture,Worker,Three Children,primary,secondary,1-2 km,Private car,Electricity,Water,Once,Low,Farming,62,34,21,87,30,83,76,800000,Yes,above 3 hours,No,2.81,65.2
770,15-18 years,female,Bangla,Private sector,Home maker,Three Children,Honors/ Equivalent ,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Casual Wage,70,65,39,74,52,37,55,100000,No,3 hours,No,2.8,55.8
771,13-15 years,female,Bangla,Worker,Public sector,None,primary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,Casual Wage,26,54,72,59,41,51,67,300000,No,0 to 30 minutes,Yes,2.64,54.8
772,13-15 years,female,Bangla,Unemployed,Immigrant,Three Children,secondary,secondary,1-2 km,Walk,Electricity,Water,Once,Mediam,Pansion,90,45,42,78,59,67,70,150000,No,2 hours,No,3.22,75.7
773,15-18 years,male,Bangla,Immigrant,Freelancer,None,primary,primary,1-2 km,Bicycle/motorbike,Electricity,Water,None,High,Remittance,45,53,82,34,23,50,38,400000,Yes,above 3 hours,Yes,2.32,74.2
774,10-13 years,male,Bangla,Private sector,Home maker,None,secondary,secondary,0.5-1 km,Bicycle/motorbike,Other,Teaching facilities,None,Low,Casual Wage,26,20,66,58,31,43,61,250000,Yes,above 3 hours,No,2.18,65.4
775,10-13 years,male,Bangla,Immigrant,Freelancer,None,secondary,primary,1-2 km,Rickshaw,Electricity,Toilet,Once,Mediam,Remittance,92,52,67,20,20,21,84,850000,No,2 hours,Yes,2.54,60.9
776,13-15 years,male,Bangla,Worker,Home maker,Three Children,primary,secondary,0-0.5 km,Private car,Electricity,Water,Once,High,Casual Wage,39,27,46,30,35,88,54,350000,No,1 hours,No,2.28,74.9
777,13-15 years,female,Bangla,Immigrant,Agriculture,Three Children,primary,primary,0.5-1 km,School Bus/Bus,Other,Toilet,None,Mediam,Remittance,89,63,39,28,29,34,35,150000,No,0 to 30 minutes,Yes,2.26,56.1
778,15-18 years,male,Bangla,Freelancer ,Agriculture,Two Children,Honors/ Equivalent ,None,0-0.5 km,School Bus/Bus,Electricity,Water,Once,High,Own business,27,49,37,67,49,87,21,750000,Yes,3 hours,No,2.41,64.3
779,13-15 years,female,Bangla,Business,Home maker,None,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Other,Water,None,High,Own business,78,26,58,88,26,56,90,750000,No,3 hours,No,3.01,76.2
780,13-15 years,male,Bangla,Freelancer ,Agriculture,Three Children,Masters/ Equivalent and above,Honors/Equivalent ,2-3 km,Private car,Electricity,Teaching facilities,None,Mediam,Own business,86,45,24,77,55,83,75,300000,No,0 to 30 minutes,Yes,3.18,69.5
781,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,primary,secondary,>7 km,Walk,Other,Toilet,None,Low,Remittance,83,70,88,86,52,27,31,900000,Yes,3 hours,No,3.12,75.8
782,15-18 years,female,English,Worker,Freelancer,Two Children,Honors/ Equivalent ,primary,1-2 km,School Bus/Bus,Other,Teaching facilities,Once,Mediam,Casual Wage,43,87,48,24,90,88,66,250000,No,1 hours,No,3.19,72.3
783,15-18 years,female,Bangla,Immigrant,Worker,Three Children,None,secondary,6-7 km,School Bus/Bus,Other,Teaching facilities,None,High,Remittance,88,86,58,61,66,47,76,650000,Yes,3 hours,Yes,3.44,86.4
784,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,Honors/ Equivalent ,primary,2-3 km,Rickshaw,Electricity,Toilet,None,Mediam,Remittance,60,75,70,23,73,71,87,200000,Yes,0 to 30 minutes,No,3.28,69.2
785,10-13 years,female,Bangla,Immigrant,Home maker,None,secondary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Electricity,Toilet,Once,Mediam,Remittance,45,61,58,56,78,75,89,750000,Yes,0 to 30 minutes,Yes,3.3,78.8
786,13-15 years,male,Bangla,Worker,Home maker,Three Children,primary,primary,1-2 km,Walk,Other,Electricity,Once,Mediam,Casual Wage,63,85,29,25,37,77,84,150000,No,1 hours,No,2.86,64.4
787,13-15 years,female,Bangla,Worker,Home maker,Four or more,Honors/ Equivalent ,secondary,>7 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,Casual Wage,68,89,68,90,30,79,48,600000,No,above 3 hours,Yes,3.37,67
788,13-15 years,female,Bangla,Worker,Home maker,Three Children,secondary,primary,2-3 km,Rickshaw,Electricity,Toilet,None,High,Casual Wage,42,65,48,61,23,27,80,200000,No,3 hours,No,2.47,72.5
789,13-15 years,male,Bangla,Unemployed,Home maker,Three Children,primary,secondary,1-2 km,Walk,Electricity,Water,None,Mediam,Pansion,76,91,91,76,60,69,67,200000,Yes,2 hours,Yes,3.79,82
790,13-15 years,male,Bangla,Business,Worker,Three Children,Honors/ Equivalent ,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Electricity,None,Low,Own business,27,48,35,28,53,58,90,150000,Yes,0 to 30 minutes,No,2.42,68.3
791,10-13 years,female,Bangla,Worker,Home maker,Two Children,primary,secondary,1-2 km,School Bus/Bus,Electricity,Electricity,Once,High,Casual Wage,28,41,79,40,31,74,76,900000,Yes,above 3 hours,No,2.64,68.2
792,10-13 years,male,Bangla,Public sector,Business,Two Children,primary,secondary,2-3 km,Bicycle/motorbike,Other,Toilet,Once,High,Formal Wage,22,91,77,33,80,47,67,300000,Yes,1 hours,No,2.98,56.4
793,13-15 years,others,Bangla,Worker,Home maker,None,primary,secondary,1-2 km,School Bus/Bus,Paraffin,Electricity,None,High,Casual Wage,35,38,55,84,27,51,72,600000,No,2 hours,No,2.59,70.3
794,10-13 years,male,Bangla,Immigrant,Home maker,None,primary,secondary,2-3 km,School Bus/Bus,Electricity,Toilet,None,High,Remittance,43,60,63,87,79,32,48,850000,No,above 3 hours,No,2.94,55.6
795,15-18 years,male,Bangla,Agriculture,Agriculture,Three Children,secondary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,None,High,Farming,23,42,72,88,53,31,53,200000,Yes,1 hours,Yes,2.59,70.4
796,10-13 years,female,Bangla,Private sector,Immigrant,None,secondary,primary,>7 km,Walk,Other,Teaching facilities,Once,High,Casual Wage,20,51,66,63,79,46,58,220000,No,1 hours,No,2.74,55.4
797,10-13 years,male,English,Private sector,Freelancer,Three Children,None,secondary,2-3 km,School Bus/Bus,Electricity,Water,None,Low,Casual Wage,47,47,25,25,55,51,75,900000,No,above 3 hours,Yes,2.32,59.2
798,10-13 years,female,Bangla,Worker,Home maker,Three Children,primary,primary,2-3 km,Walk,Electricity,Toilet,None,High,Casual Wage,80,70,58,84,47,77,60,900000,Yes,0 to 30 minutes,No,3.4,72
799,10-13 years,female,Bangla,Private sector,Home maker,Three Children,primary,secondary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Casual Wage,21,56,59,57,32,35,39,550000,Yes,above 3 hours,Yes,2.14,50.3
